"id","year","album","song","danceability","energy","mode","speechiness","acousticness","liveness","valence","duration_ms","vocals"
56,1965,"Help!","Help!",0.534,0.725,0,0.0332,0.188,0.0994,0.763,139560,0
125,1968,"The Beatles (white album)","obi-la -di, ob-la-da",0.818,0.728,1,0.0314,0.232,0.251,0.975,188960,1
86,1966,"Revolver","im only sleeping",0.494,0.47,0,0.0301,0.21,0.28,0.698,180320,0
27,1963,"With The Beatles","Not A Second Time",0.471,0.817,1,0.0372,0.213,0.498,0.961,126827,0
108,1967,"Sgt. Pepper's Lonely Hearts Club Band","good morning good mornng",0.542,0.618,1,0.139,0.0858,0.772,0.93,161227,0
72,1965,"Rubber Soul","you wont see me",0.488,0.539,1,0.0304,0.136,0.0538,0.473,199960,1
85,1966,"Revolver","eleanor rigby",0.581,0.28,0,0.0381,0.936,0.305,0.813,126533,1
73,1965,"Rubber Soul","nowhere man",0.534,0.624,1,0.0462,0.00797,0.128,0.687,163693,0
168,1969,"Abbey Road","Oh! Darling",0.422,0.656,1,0.0397,0.0126,0.268,0.549,207240,1
186,1970,"Let It Be","dig it ",0.54,0.489,1,0.117,0.659,0.457,0.67,50467,0
43,1964,"Beatles for Sale","im a loser",0.492,0.628,1,0.0439,0.567,0.267,0.856,150027,0
140,1968,"The Beatles (white album)","yer blues",0.327,0.525,1,0.0475,0.000875,0.133,0.435,240453,0
141,1968,"The Beatles (white album)","mother natures son",0.608,0.178,1,0.0264,0.634,0.166,0.401,168027,1
115,1967,"Magical Mystery Tour","your mother should know",0.698,0.293,1,0.0332,0.784,0.0936,0.724,148413,1
173,1969,"Abbey Road","you never give me your money",0.335,0.416,1,0.0348,0.345,0.116,0.223,242973,1
94,1966,"Revolver","doctor robert",0.394,0.64,1,0.0488,0.164,0.153,0.574,134267,0
142,1968,"The Beatles (white album)","everybodys got something to hide even you",0.523,0.731,1,0.0559,0.0207,0.081,0.81,144773,0
16,1963,"With The Beatles","All I've Got To Do",0.49,0.579,0,0.0344,0.217,0.0644,0.879,122573,0
143,1968,"The Beatles (white album)","sexy sadie ",0.577,0.624,1,0.0285,0.33,0.117,0.671,195267,0
118,1967,"Magical Mystery Tour","strawberry field forever",0.39,0.502,1,0.178,0.336,0.0713,0.289,247320,0
